SECCION,GANADOR,CODIGO_ESTADO,MUN_IFE,MUN_INEGI,TOTAL,HOMBRES,MUJERES,HIJOS,ENTIDAD_NAC,ENTIDAD_INM,ENTIDAD_MIG,LIMITACION,ANALFABETISMO,EDUCACION_AV,PEA,NO_SERV_SALUD,MATRIMONIOS,HOGARES,HOGARES_JEFA,HOGARES_POB,AUTO
536,MORENA,5,23,23,258,55.42635659,44.57364341,4.08,84.10852713,97.08333333,1.666666667,7.364341085,12.5,6.349206349,38.37209302,37.59689922,64.25339367,78,10.25641026,330.7692308,57.69230769
537,MORENA,5,23,23,224,52.23214286,47.76785714,3.55,99.55357143,98.55769231,0.961538462,9.821428571,4.268292683,6.081081081,37.5,39.73214286,64.60674157,63,14.28571429,355.5555556,52.38095238
539,CPRI,5,23,23,1072,47.94776119,52.05223881,1.85,80.2238806,96.30836048,2.931596091,2.332089552,0.61633282,59.76027397,31.90298507,4.104477612,66.84563758,248,3.629032258,423.7903226,87.90322581
540,CPRI,5,23,23,1572,48.7913486,51.2086514,2.52,77.16284987,94.09190372,5.324580598,6.106870229,1.46484375,33.76764387,31.80661578,18.00254453,60.57945566,380,15,405,65
542,CPRI,5,24,24,3939,49.35262757,50.64737243,2.1,93.27240416,97.19228588,1.55984118,3.300330033,2.06185567,43.24786325,38.94389439,13.91216045,58.66942434,1002,17.76447106,392.8143713,59.68063872
543,CPRI,5,24,24,2927,49.36795354,50.63204646,2.31,90.94636146,96.79366277,1.772915881,4.714724974,1.261682243,48.39857651,39.6651862,14.6908097,55.28490648,795,25.03144654,361.7610063,62.01257862
544,CPRI,5,24,24,1559,50.09621552,49.90378448,2.47,94.80436177,98.28178694,1.16838488,4.297626684,2.755555556,39.6097561,38.42206543,14.68890314,54.26045016,407,20.14742015,383.046683,48.64864865
545,CPRI,5,24,24,2483,50.82561418,49.17438582,2.51,94.88521949,97.7827051,1.419068736,4.027386226,3.874643875,33.50189633,37.89770439,17.92186871,57.10567413,602,14.78405316,407.4750831,46.84385382
546,CPRI,5,24,24,1227,50.93724531,49.06275469,2.9,96.41401793,98.75996457,1.15146147,6.682966585,4.372842348,30.52763819,37.89731051,22.98288509,53.62776025,305,15.08196721,401.3114754,53.44262295
547,CPRI,5,24,24,1273,49.88216811,50.11783189,2.5,93.71563236,97.05387205,2.272727273,4.320502749,3.483606557,45.73991031,40.21995287,16.26080126,52.12464589,364,29.12087912,349.7252747,52.47252747
548,CPRI,5,24,24,2351,52.06295194,47.93704806,2.42,91.62058698,98.31683168,0.643564356,1.956614207,3.028308097,27.41341194,34.96384517,14.50446618,57.44934446,573,18.32460733,394.0663176,40.83769634
549,CPRI,5,24,24,2347,50.91606306,49.08393694,2.44,90.20025565,99.24585219,0.402212167,4.559011504,3.143040411,30.54151625,34.34171282,13.93268002,53.76470588,540,22.40740741,403.8888889,50.18518519
550,CPRI,5,24,24,1497,47.89579158,52.10420842,2.48,92.78557114,97.06513958,2.433786686,3.540414162,3.487358326,53.53728489,35.93854375,18.30327321,45.19543974,419,33.41288783,356.5632458,52.98329356
551,CPRI,5,24,24,1019,46.12365064,53.87634936,2.27,89.59764475,96.69421488,2.685950413,6.967615309,2.305825243,59.68790637,37.88027478,17.27183513,46.40820981,301,37.54152824,328.5714286,62.12624585
552,CPRI,5,24,24,1216,50.32894737,49.67105263,2.27,89.80263158,90.94138544,1.509769094,10.85526316,3.972758229,31.18811881,35.77302632,16.11842105,52.83613445,299,20.40133779,380.9364548,48.82943144
553,CPRI,5,24,24,1307,49.57918898,50.42081102,2.45,94.18515685,97.6371308,1.603375527,4.055087988,3.544575725,35.86040915,36.95485845,17.36801836,53.06930693,318,24.21383648,408.1761006,40.88050314
554,CPRI,5,24,24,1374,47.81659389,52.18340611,2.51,91.84861718,96.68508287,2.604577743,6.404657933,4.468718967,43.93125671,39.08296943,14.84716157,51.66666667,363,25.06887052,377.6859504,50.96418733
555,CPRI,5,24,24,784,48.59693878,51.40306122,2.42,94.64285714,98.23848238,1.08401084,2.678571429,1.470588235,53.95683453,37.37244898,15.30612245,49.16286149,227,33.03964758,342.7312775,50.66079295
556,CPRI,5,24,24,684,47.36842105,52.63157895,2.71,97.80701754,99.0797546,0.460122699,9.649122807,3.327171904,40.31620553,34.06432749,12.13450292,46.32867133,208,32.69230769,328.8461538,45.19230769
557,CPRI,5,24,24,4160,49.51923077,50.48076923,2.1,89.78365385,97.47292419,1.582893641,4.399038462,1.701049584,46.9436676,35.74519231,12.47596154,58.74543644,1069,20.67352666,373.7137512,55.75304022
558,CPRI,5,24,24,2006,50.69790628,49.30209372,2.7,95.21435693,98.63834423,0.925925926,4.43668993,5.350938151,31.25960061,38.18544367,15.60319043,55.37772087,514,20.81712062,390.2723735,47.47081712
559,CPRI,5,24,24,1690,51.89349112,48.10650888,2.62,95.0887574,99.00332226,0.930232558,4.615384615,4.963898917,22.76507277,36.62721893,15.26627219,56.7284448,389,15.16709512,432.9048843,37.27506427
