ANO,ELECCION,CODIGO_ESTADO,NOMBRE_ESTADO,NOMBRE_MUNICIPIO,DISTRITO_LOCAL_INE_2016,SECCION,NOMINAL,CNR,MORENA,NULOS,PAN,PNA,PRD,PRI,PRS,PSD,PT,PUP,PVEM
2016,gob,20,oaxaca,SANTIAGO MATATLAN,17,2066,743,0,48,16,,3,49,,2,1,33,3,
2016,gob,20,oaxaca,SANTIAGO MATATLAN,17,2067,857,0,36,22,,4,34,,4,4,18,7,
2016,gob,20,oaxaca,SANTIAGO MATATLAN,17,2068,1114,0,69,14,,6,46,,1,8,117,29,
2016,gob,20,oaxaca,SANTIAGO MATATLAN,17,2069,3502,0,221,64,,31,198,,11,17,158,29,
2016,gob,20,oaxaca,SANTIAGO MILTEPEC,6,2070,305,0,15,12,,1,97,,2,2,3,0,
2016,gob,20,oaxaca,SANTIAGO MINAS,21,2071,1059,0,6,29,,2,40,,27,4,421,0,
2016,gob,20,oaxaca,SANTIAGO NACALTEPEC,,2072,573,0,69,7,,1,10,,0,0,3,81,
2016,gob,20,oaxaca,SANTIAGO NACALTEPEC,,2073,245,0,9,0,,0,13,,0,1,21,1,
2016,gob,20,oaxaca,SANTIAGO NACALTEPEC,,2074,332,0,12,3,,7,17,,0,2,7,1,
2016,gob,20,oaxaca,SANTIAGO NACALTEPEC,,2075,257,0,25,6,,1,6,,1,1,22,1,
2016,gob,20,oaxaca,SANTIAGO NEJAPILLA,,2076,159,0,6,4,,1,3,,0,0,3,2,
2016,gob,20,oaxaca,SANTIAGO NILTEPEC ,11,2077,530,0,53,6,,0,103,,6,0,126,0,
2016,gob,20,oaxaca,SANTIAGO NILTEPEC ,11,2078,689,0,109,16,,0,183,,0,2,86,0,
2016,gob,20,oaxaca,SANTIAGO NILTEPEC ,11,2079,947,1,89,14,,1,194,,1,2,76,0,
2016,gob,20,oaxaca,,,2080,703,0,59,17,,1,137,,1,2,168,2,
2016,gob,20,oaxaca,,,2081,459,0,21,10,,2,67,,0,0,112,0,
2016,gob,20,oaxaca,SANTIAGO NILTEPEC ,11,2082,176,0,0,3,,0,51,,0,4,31,0,
2016,gob,20,oaxaca,SANTIAGO NILTEPEC ,11,2083,529,0,27,7,,0,79,,0,1,134,0,
2016,gob,20,oaxaca,SANTIAGO NUNDICHE,8,2084,403,0,61,7,,4,44,,4,1,29,3,
2016,gob,20,oaxaca,SANTIAGO NUNDICHE,8,2085,346,0,106,17,,0,86,,2,4,21,0,
2016,gob,20,oaxaca,SANTIAGO NUYOO,8,2086,623,0,51,9,,3,78,,3,1,14,4,
2016,gob,20,oaxaca,SANTIAGO NUYOO,8,2087,848,0,94,9,,5,107,,59,,32,3,
2016,gob,20,oaxaca,SANTIAGO PINOTEPA NACIONAL,22,2088,,1,424,40,,11,484,,5,3,48,6,
2016,gob,20,oaxaca,SANTIAGO PINOTEPA NACIONAL,22,2089,1668,0,225,22,,9,309,,3,2,66,9,
2016,gob,20,oaxaca,SANTIAGO PINOTEPA NACIONAL,22,2090,1082,0,150,17,,1,237,,1,4,43,4,
2016,gob,20,oaxaca,SANTIAGO PINOTEPA NACIONAL,22,2091,1533,0,155,17,,4,471,,2,0,38,2,
2016,gob,20,oaxaca,SANTIAGO PINOTEPA NACIONAL,22,2092,1639,0,213,24,,6,379,,3,7,55,2,
2016,gob,20,oaxaca,SANTIAGO PINOTEPA NACIONAL,22,2093,1428,0,221,14,,6,317,,3,2,55,6,
2016,gob,20,oaxaca,SANTIAGO PINOTEPA NACIONAL,22,2094,1780,1,184,23,,4,385,,4,3,65,5,
2016,gob,20,oaxaca,SANTIAGO PINOTEPA NACIONAL,22,2095,1280,1,177,14,,11,246,,4,3,32,2,
2016,gob,20,oaxaca,SANTIAGO PINOTEPA NACIONAL,22,2096,1427,0,214,12,,11,260,,1,2,59,6,
2016,gob,20,oaxaca,SANTIAGO PINOTEPA NACIONAL,22,2097,2011,0,242,29,,2,468,,3,5,84,14,
2016,gob,20,oaxaca,SANTIAGO PINOTEPA NACIONAL,22,2098,2454,0,233,44,,8,517,,2,5,103,12,
2016,gob,20,oaxaca,SANTIAGO PINOTEPA NACIONAL,22,2099,2311,0,210,47,,2,537,,4,2,104,7,
2016,gob,20,oaxaca,SANTIAGO PINOTEPA NACIONAL,22,2100,3576,0,314,76,,14,734,,4,10,75,23,
2016,gob,20,oaxaca,SANTIAGO PINOTEPA NACIONAL,22,2101,839,0,33,19,,4,176,,0,4,15,0,
2016,gob,20,oaxaca,SANTIAGO PINOTEPA NACIONAL,22,2102,810,0,42,15,,2,126,,0,1,5,2,
2016,gob,20,oaxaca,SANTIAGO PINOTEPA NACIONAL,22,2103,1324,0,67,51,,9,282,,3,11,81,8,
2016,gob,20,oaxaca,SANTIAGO PINOTEPA NACIONAL,22,2104,1372,1,71,35,,14,315,,5,6,23,4,
2016,gob,20,oaxaca,SANTIAGO PINOTEPA NACIONAL,22,2105,1226,0,177,38,,8,200,,6,14,28,3,
2016,gob,20,oaxaca,SANTIAGO PINOTEPA NACIONAL,22,2106,1359,0,34,28,,3,449,,1,14,22,2,
2016,gob,20,oaxaca,SANTIAGO PINOTEPA NACIONAL,22,2107,978,0,40,26,,1,338,,1,12,45,9,
2016,gob,20,oaxaca,SANTIAGO PINOTEPA NACIONAL,22,2108,1354,0,112,27,,11,409,,1,2,72,1,
2016,gob,20,oaxaca,SANTIAGO PINOTEPA NACIONAL,22,2109,1114,0,73,32,,6,213,,2,2,118,2,
2016,gob,20,oaxaca,SANTIAGO PINOTEPA NACIONAL,22,2110,1099,0,36,32,,7,319,,0,3,45,5,
2016,gob,20,oaxaca,SANTIAGO PINOTEPA NACIONAL,22,2111,1631,0,151,27,,24,306,,3,8,27,7,
2016,gob,20,oaxaca,SANTIAGO SUCHILQUITONGO,,2112,2011,1,184,28,,4,270,,6,5,290,37,
2016,gob,20,oaxaca,SANTIAGO SUCHILQUITONGO,,2113,1851,0,153,25,,6,267,,6,6,190,90,
2016,gob,20,oaxaca,SANTIAGO SUCHILQUITONGO,,2114,1596,0,110,32,,4,162,,6,1,202,50,
2016,gob,20,oaxaca,SANTIAGO SUCHILQUITONGO,,2115,589,0,60,5,,2,67,,5,1,88,23,
2016,gob,20,oaxaca,SANTIAGO SUCHILQUITONGO,,2116,1052,0,71,14,,0,269,,4,8,52,8,
2016,gob,20,oaxaca,SANTIAGO TAMAZOLA,6,2117,752,0,27,8,,1,105,,1,0,15,1,
2016,gob,20,oaxaca,SANTIAGO TAMAZOLA,6,2118,822,0,18,20,,1,129,,1,1,11,2,
2016,gob,20,oaxaca,SANTIAGO TAMAZOLA,6,2119,379,0,8,8,,2,55,,0,0,9,0,
2016,gob,20,oaxaca,SANTIAGO TAMAZOLA,6,2120,254,0,1,2,,0,31,,0,0,1,0,
2016,gob,20,oaxaca,SANTIAGO TAMAZOLA,6,2121,341,0,2,3,,0,76,,0,0,4,0,
2016,gob,20,oaxaca,SANTIAGO TAMAZOLA,6,2122,535,0,9,8,,0,95,,0,18,11,0,
2016,gob,20,oaxaca,SANTIAGO TAPEXTLA,22,2123,1108,0,106,34,,0,88,,0,1,364,1,
2016,gob,20,oaxaca,SANTIAGO TAPEXTLA,22,2124,1082,0,51,36,,3,49,,2,5,198,1,
2016,gob,20,oaxaca,SANTIAGO TENANGO,,2125,654,0,40,6,,3,21,,0,1,36,9,
2016,gob,20,oaxaca,SANTIAGO TENANGO,,2126,745,0,72,6,,3,46,,4,1,55,22,
2016,gob,20,oaxaca,SANTIAGO TEPETLAPA,,2127,93,0,6,1,,1,7,,0,1,7,0,
2016,gob,20,oaxaca,SANTIAGO TETEPEC,23,2128,1197,0,208,27,,3,9,,8,3,168,7,
2016,gob,20,oaxaca,SANTIAGO TETEPEC,23,2129,1226,0,145,45,,2,26,,2,0,340,2,
2016,gob,20,oaxaca,SANTIAGO TETEPEC,23,2130,861,1,97,2,,5,15,,2,3,236,0,
2016,gob,20,oaxaca,TEOTITLAN DE FLORES MAGON,4,2131,870,0,16,8,,9,33,,2,2,6,10,
2016,gob,20,oaxaca,TEOTITLAN DE FLORES MAGON,4,2132,859,0,14,13,,9,31,,1,5,17,61,
2016,gob,20,oaxaca,SANTIAGO TEXTITLAN,21,2133,1968,0,188,58,,7,222,,5,3,45,4,
2016,gob,20,oaxaca,SANTIAGO TEXTITLAN,21,2134,446,0,90,6,,1,163,,1,1,7,1,
2016,gob,20,oaxaca,SANTIAGO TILANTONGO,,2135,706,0,77,14,,8,28,,1,8,80,99,
2016,gob,20,oaxaca,SANTIAGO TILANTONGO,,2136,437,0,28,15,,7,21,,0,0,15,55,
2016,gob,20,oaxaca,SANTIAGO TILANTONGO,,2137,635,0,28,21,,8,42,,1,8,53,35,
2016,gob,20,oaxaca,SANTIAGO TILANTONGO,,2138,422,0,43,13,,1,29,,1,3,32,34,
2016,gob,20,oaxaca,SANTIAGO TILLO,,2139,416,0,49,8,,3,32,,5,2,35,8,
2016,gob,20,oaxaca,SANTIAGO TLAZOYALTEPEC,,2140,1099,2,62,37,,15,114,,6,14,71,37,
2016,gob,20,oaxaca,SANTIAGO TLAZOYALTEPEC,,2141,799,0,50,26,,3,58,,0,7,34,11,
2016,gob,20,oaxaca,SANTIAGO TLAZOYALTEPEC,,2142,766,0,103,37,,7,61,,3,6,38,16,
2016,gob,20,oaxaca,SANTIAGO TLAZOYALTEPEC,,2143,510,0,20,14,,1,47,,2,7,26,46,
2016,gob,20,oaxaca,SANTIAGO XANICA,24,2144,692,0,78,23,,6,44,,2,7,16,2,
2016,gob,20,oaxaca,SANTIAGO XANICA,24,2145,247,0,43,14,,2,4,,2,1,1,12,
2016,gob,20,oaxaca,SANTIAGO XANICA,24,2146,429,0,42,6,,2,13,,4,2,8,0,
